Id,OrderItemNumber,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
8028e000003boucAAA,0000052255,15.81,,219.41
8028e000003boudAAA,0000052256,11.22,,196.34
8028e000003ofSRAAY,0000052617,250.0,,
8028e000003ofSSAAY,0000052618,448.8,,
8028e000003ofSTAAY,0000052619,270.0,,
8028e000003ofSUAAY,0000052620,430.0,,125.0
8028e000003ofSVAAY,0000052621,438.6,,127.5
8028e000003qVh9AAE,0000052694,430.0,,125.0
8028e000003qVhAAAU,0000052695,430.0,,125.0
8028e000003qVhBAAU,0000052696,250.0,,
8028e000003qVhCAAU,0000052697,440.0,,
8028e000003qVhDAAU,0000052698,270.0,,
8028e0000046ch7AAA,0000052990,0.0,,5500.0
8028e0000046ch8AAA,0000052991,51.0,,
8028e0000046ch9AAA,0000052992,471.0,,
8028e0000046chAAAQ,0000052993,212.0,,
8028e000004CGzuAAG,0000053039,409.275,,130.968
8028e000004CkETAA0,0000053057,258.0,,
8028e000004dPdIAAU,0000053520,103.0,,206.0
8028e000004zx2FAAQ,0000053968,,144.0,
8028e000005HWMKAA4,0000054164,215.0,,82.0
8028e000005pHVgAAM,0000054941,255.0,,
8028e000005pHVhAAM,0000054942,,173.4,
8028e000005qE49AAE,0000054986,255.0,,
8028e000005qGBRAA2,0000054989,401.25,,128.4
8028e000005sfYMAAY,0000055098,409.275,,130.968
8028e00000686eFAAQ,0000055347,55.0,,
